,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Std.Err.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Std.Err.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
GLB.AX,multipleSymbols,GLB.AX,4,2,18,8.99999999999999,8.99999999999999,18,0,18,0,12.7279220613578,8.99999999999999,50,0,NA,18,18,NA,NA,8.99999999999999,8.99999999999999,12.7279220613578,8.99999999999999,11.2249721603218,-30,0.599999999999999,NA,NA,46,-3,18
GLH.AX,multipleSymbols,GLH.AX,2,1,-4,-4,-4,0,-4,0,-4,NA,NA,0,100,0,NA,NA,-4,-4,-4,-4,NA,NA,NA,-4,-1,NA,NA,0,-4,-4
GLL.AX,multipleSymbols,GLL.AX,6,3,-51,-17,-0.5,0.5,-51,0.5,-51.5,29.4491086452544,17.0024508037322,33.3333333333333,66.6666666666667,0.00970873786407768,0.5,0.5,-25.75,-25.75,-17,-0.5,29.4491086452544,17.0024508037322,-9.16383028700177,-64.5,-0.790697674418605,0.0194174757281554,0.0194174757281554,7,-57.5,-51
GLN.AX,multipleSymbols,GLN.AX,12,6,-11.5,-1.91666666666667,-2,20,-25,37,-48.5,16.9068526540769,6.90219369315131,50,50,0.762886597938145,12.3333333333333,10,-16.1666666666667,-12.5,-1.91666666666667,-2,16.9068526540769,6.90219369315131,-1.79963359826797,-48.5,-0.237113402061856,0.762886597938145,0.8,15,-33.5,-11.5
GMA.AX,multipleSymbols,GMA.AX,6,3,6,2.00000000000002,6.00000000000001,8.00000000000001,-7.99999999999996,14,-7.99999999999996,8.71779788708133,5.03322295684716,66.6666666666667,33.3333333333333,1.75000000000001,7.00000000000001,7.00000000000001,-7.99999999999996,-7.99999999999996,2.00000000000002,6.00000000000001,8.71779788708133,5.03322295684716,3.64186187200134,-66.9999999999999,0.0895522388059702,0.875000000000005,0.875000000000005,66.9999999999999,-23,6
GMC.AX,multipleSymbols,GMC.AX,6,3,-11,-3.66666666666667,-1,0,-9,0,-11,4.618802153517,2.66666666666667,0,100,0,NA,NA,-3.66666666666667,-1,-3.66666666666667,-1,4.618802153517,2.66666666666667,-12.6020831611286,-13,-0.846153846153846,NA,NA,1,-12,-11
GMD.AX,multipleSymbols,GMD.AX,8,4,1.1703,0.292574999999995,-1.47160000000001,9.99999999999999,-5.88649999999999,11.9622,-10.7919,7.35349485454591,3.67674742727296,50,50,1.10844244294332,5.98109999999998,5.98109999999998,-5.39594999999999,-5.39594999999999,0.292574999999995,-1.47160000000001,7.35349485454591,3.67674742727296,0.63160228311536,-24.7163,0.0473493200843167,1.10844244294332,1.10844244294332,5.88659999999999,-18.8297,1.1703
GNE.AX,multipleSymbols,GNE.AX,2,1,23,23,23,23,0,23,0,NA,NA,100,0,NA,23,23,NA,NA,23,23,NA,NA,NA,-10,2.3,NA,NA,28,0,23
GNG.AX,multipleSymbols,GNG.AX,2,1,-16,-16,-16,0,-16,0,-16,NA,NA,0,100,0,NA,NA,-16,-16,-16,-16,NA,NA,NA,-22.5,-0.711111111111112,NA,NA,6.49999999999999,-16,-16
GNP.AX,multipleSymbols,GNP.AX,2,1,-1,-1,-1,0,-1,0,-1,NA,NA,0,100,0,NA,NA,-1,-1,-1,-1,NA,NA,NA,-10,-0.1,NA,NA,9,-1,-1
GOR.AX,multipleSymbols,GOR.AX,10,5,-101.5,-20.3,-27.5,0,-35,0,-101.5,16.2734446261386,7.27770568242492,0,100,0,NA,NA,-20.3,-27.5,-20.3,-27.5,16.2734446261386,7.27770568242492,-19.8023539017708,-126,-0.805555555555556,NA,NA,3,-123,-101.5
GOW.AX,multipleSymbols,GOW.AX,2,1,1.00000000000003,1.00000000000002,1.00000000000002,1.00000000000002,0,1.00000000000002,0,NA,NA,100,0,NA,1.00000000000002,1.00000000000002,NA,NA,1.00000000000002,1.00000000000002,NA,NA,NA,-11,0.0909090909090935,NA,NA,2,-9,1.00000000000003
GPR.AX,multipleSymbols,GPR.AX,2,1,-6.00000000000001,-6.00000000000001,-6.00000000000001,0,-6.00000000000001,0,-6.00000000000001,NA,NA,0,100,0,NA,NA,-6.00000000000001,-6.00000000000001,-6.00000000000001,-6.00000000000001,NA,NA,NA,-8.50000000000001,-0.705882352941177,NA,NA,2,-6.50000000000001,-6.00000000000001
GRR.AX,multipleSymbols,GRR.AX,8,4,-40,-10,-10.75,0,-17.5,0,-40,7.15308791129165,3.57654395564582,0,100,0,NA,NA,-10,-10.75,-10,-10.75,7.15308791129165,3.57654395564582,-22.1925244918751,-40,-1,NA,NA,0,-40,-40
GRV.AX,multipleSymbols,GRV.AX,2,1,8,8,8,8,0,8,0,NA,NA,100,0,NA,8,8,NA,NA,8,8,NA,NA,NA,-2.5,3.2,NA,NA,8,-1.5,8
GSM.AX,multipleSymbols,GSM.AX,2,1,2,2,2,2,0,2,0,NA,NA,100,0,NA,2,2,NA,NA,2,2,NA,NA,NA,-38,0.0526315789473684,NA,NA,32,-6,2
GSS.AX,multipleSymbols,GSS.AX,2,1,4,3.99999999999999,3.99999999999999,3.99999999999999,0,3.99999999999999,0,NA,NA,100,0,NA,3.99999999999999,3.99999999999999,NA,NA,3.99999999999999,3.99999999999999,NA,NA,NA,-5,0.8,NA,NA,4,-1,4
GSW.AX,multipleSymbols,GSW.AX,4,2,-57,-28.5,-28.5,2.99999999999999,-60,2.99999999999999,-60,44.5477272147525,31.5,50,50,0.0499999999999999,2.99999999999999,2.99999999999999,-60,-60,-28.5,-28.5,44.5477272147525,31.5,-10.1559271926721,-88,-0.647727272727273,0.0499999999999999,0.0499999999999999,0,-88,-57
GTK.AX,multipleSymbols,GTK.AX,2,1,29.5,29.5,29.5,29.5,0,29.5,0,NA,NA,100,0,NA,29.5,29.5,NA,NA,29.5,29.5,NA,NA,NA,-13.5,2.18518518518519,NA,NA,43,-6,29.5
GWA.AX,multipleSymbols,GWA.AX,2,1,-21,-21,-21,0,-21,0,-21,NA,NA,0,100,0,NA,NA,-21,-21,-21,-21,NA,NA,NA,-38,-0.552631578947368,NA,NA,9,-29,-21
GXY.AX,multipleSymbols,GXY.AX,2,1,20,20,20,20,0,20,0,NA,NA,100,0,NA,20,20,NA,NA,20,20,NA,NA,NA,-51,0.392156862745098,NA,NA,61,0,20
HAS.AX,multipleSymbols,HAS.AX,8,4,30.4999999999999,7.625,5.25000000000001,30,-10,40.5,-10,16.5598661427762,8.27993307138811,75,25,4.05,13.5,5.5,-10,-10,7.625,5.25000000000001,16.5598661427762,8.27993307138811,7.3094263828942,-115,0.265217391304347,1.35,0.549999999999999,80.4999999999999,-59.5000000000001,30.4999999999999
HGL.AX,multipleSymbols,HGL.AX,2,1,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0
HIL.AX,multipleSymbols,HIL.AX,2,1,0.5,0.5,0.5,0.5,0,0.5,0,NA,NA,100,0,NA,0.5,0.5,NA,NA,0.5,0.5,NA,NA,NA,-2,0.25,NA,NA,1.5,-1,0.5
HIT.AX,multipleSymbols,HIT.AX,6,3,35,11.6666666666667,1.5,36,-2.5,37.5,-2.5,21.1679789619447,12.2213383518791,66.6666666666667,33.3333333333333,15,18.75,18.75,-2.5,-2.5,11.6666666666667,1.5,21.1679789619447,12.2213383518791,8.74918631143173,-17,2.05882352941176,7.49999999999999,7.49999999999999,35,-5.5,35
