,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Std.Err.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Std.Err.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
MCP.AX,multipleSymbols,MCP.AX,8,4,-45,-11.25,-11,7.00000000000003,-30,7.00000000000003,-52,15.1299922890485,7.56499614452426,25,75,0.134615384615385,7.00000000000003,7.00000000000003,-17.3333333333333,-12,-11.25,-11,15.1299922890485,7.56499614452426,-11.8035891945647,-66,-0.681818181818182,0.403846153846155,0.583333333333335,18,-48,-45
MCR.AX,multipleSymbols,MCR.AX,14,7,0.499999999999957,0.0714285714285646,0.5,45.5,-43,52.5,-52,25.7688904356729,9.73972509355163,57.1428571428571,42.8571428571429,1.00961538461538,13.125,3.24999999999999,-17.3333333333333,-4.50000000000002,0.0714285714285646,0.5,25.7688904356729,9.73972509355163,0.0440024153099693,-51,0.00980392156862662,0.757211538461538,0.722222222222217,48.4999999999999,-6.50000000000003,0.499999999999957
MCY.AX,multipleSymbols,MCY.AX,8,4,57.9999999999999,14.5,27.4999999999999,47,-44,102,-44,40.0707707271356,20.0353853635678,75,25,2.31818181818181,34,27.9999999999999,-44,-44,14.5,27.4999999999999,40.0707707271356,20.0353853635678,5.74434581331231,-71,0.816901408450703,0.772727272727271,0.636363636363634,78.9999999999999,-1.00000000000011,57.9999999999999
MDC.AX,multipleSymbols,MDC.AX,2,1,-600,-600,-600,0,-600,0,-600,NA,NA,0,100,0,NA,NA,-600,-600,-600,-600,NA,NA,NA,-600,-1,NA,NA,0,-600,-600
MDI.AX,multipleSymbols,MDI.AX,2,1,9.2001,9.2001,9.2001,9.2001,0,9.2001,0,NA,NA,100,0,NA,9.2001,9.2001,NA,NA,9.2001,9.2001,NA,NA,NA,-4.6,2.00002173913043,NA,NA,11.5001,-2.3,9.2001
MDR.AX,multipleSymbols,MDR.AX,2,1,-1.38,-1.38,-1.38,0,-1.38,0,-1.38,NA,NA,0,100,0,NA,NA,-1.38,-1.38,-1.38,-1.38,NA,NA,NA,-5.52,-0.250000000000001,NA,NA,2.76,-2.76,-1.38
MEA.AX,multipleSymbols,MEA.AX,2,1,0.5,0.5,0.5,0.5,0,0.5,0,NA,NA,100,0,NA,0.5,0.5,NA,NA,0.5,0.5,NA,NA,NA,-3.5,0.142857142857143,NA,NA,0.5,-3.5,0.5
MEC.AX,multipleSymbols,MEC.AX,10,5,11.5,2.3,3,6.50000000000002,-1,12.5,-1,2.94957624075053,1.31909059582729,60,20,12.5,4.16666666666667,3,-1,-1,2.3,3,2.94957624075053,1.31909059582729,12.3785130854597,-24.78,0.46408393866021,4.16666666666667,3,26.78,-1,11.5
MEI.AX,multipleSymbols,MEI.AX,2,1,-5.4,-5.4,-5.4,0,-5.4,0,-5.4,NA,NA,0,100,0,NA,NA,-5.4,-5.4,-5.4,-5.4,NA,NA,NA,-5.8,-0.931034482758621,NA,NA,0.0999999999999996,-5.7,-5.4
MEL.AX,multipleSymbols,MEL.AX,4,2,0.9,0.45,0.45,0.8,0,0.900000000000001,0,0.494974746830583,0.35,100,0,NA,0.45,0.45,NA,NA,0.45,0.45,0.494974746830583,0.35,14.4321070632709,-0.9,1,NA,NA,1.3,-0.3,0.9
