,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Std.Err.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Std.Err.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
1AD.AX,multipleSymbols,1AD.AX,4,2,-3.5,-1.75,-1.75,0,-2,0,-3.5,0.353553390593272,0.249999999999999,0,100,0,NA,NA,-1.75,-1.75,-1.75,-1.75,0.353553390593272,0.249999999999999,-78.5748051222531,-3.5,-1,NA,NA,0,-3.5,-3.5
1AG.AX,multipleSymbols,1AG.AX,2,1,-0.100000000000001,-0.100000000000001,-0.100000000000001,0,-0.100000000000001,0,-0.100000000000001,NA,NA,0,100,0,NA,NA,-0.100000000000001,-0.100000000000001,-0.100000000000001,-0.100000000000001,NA,NA,NA,-1.4,-0.0714285714285718,NA,NA,1.3,-0.100000000000001,-0.100000000000001
1ST.AX,multipleSymbols,1ST.AX,2,1,3.2,3.2,3.2,3.2,0,3.2,0,NA,NA,100,0,NA,3.2,3.2,NA,NA,3.2,3.2,NA,NA,NA,-2,1.6,NA,NA,5,-0.7,3.2
360.AX,multipleSymbols,360.AX,2,1,-1,-0.999999999999979,-0.999999999999979,0,-0.999999999999979,0,-0.999999999999979,NA,NA,0,100,0,NA,NA,-0.999999999999979,-0.999999999999979,-0.999999999999979,-0.999999999999979,NA,NA,NA,-71,-0.0140845070422535,NA,NA,70,-20,-1
3DA.AX,multipleSymbols,3DA.AX,2,1,-12,-12,-12,0,-12,0,-12,NA,NA,0,100,0,NA,NA,-12,-12,-12,-12,NA,NA,NA,-21,-0.571428571428571,NA,NA,6,-21,-12
3DP.AX,multipleSymbols,3DP.AX,6,3,0.5,0.166666666666667,0.5,8,-8,8.5,-8,8.00520663901522,4.62180820795401,66.6666666666667,33.3333333333333,1.0625,4.25,4.25,-8,-8,0.166666666666667,0.5,8.00520663901522,4.62180820795401,0.330503812127711,-31,0.0161290322580645,0.53125,0.53125,21,-22,0.5
3PL.AX,multipleSymbols,3PL.AX,4,2,3,1.5,1.5,7.00000000000001,-4,7.00000000000001,-4,7.77817459305203,5.5,50,50,1.75,7.00000000000001,7.00000000000001,-4,-4,1.5,1.5,7.77817459305203,5.5,3.06135604372413,-21.5,0.13953488372093,1.75,1.75,17.5,-15,3
4CE.AX,multipleSymbols,4CE.AX,6,3,5.55,1.85,1.5,2.8,0,5.55,0,0.832165848854663,0.480451176846653,100,0,NA,1.85,1.5,NA,NA,1.85,1.5,0.832165848854663,0.480451176846653,35.2908492859168,-4.25,1.30588235294117,NA,NA,6.05,-0.899999999999999,5.55
4DS.AX,multipleSymbols,4DS.AX,6,3,8.2,2.73333333333333,2.2,4,0,8.2,0,1.10151410945722,0.635959467611298,100,0,NA,2.73333333333333,2.2,NA,NA,2.73333333333333,2.2,1.10151410945722,0.635959467611298,39.3915258360514,-9,0.911111111111111,NA,NA,15.7,0,8.2
5GN.AX,multipleSymbols,5GN.AX,8,4,95.5,23.875,22,36.5,0,95.5,0,9.07721506483862,4.53860753241931,100,0,NA,23.875,22,NA,NA,23.875,22,9.07721506483862,4.53860753241931,41.7533211015465,-26.5,3.60377358490566,NA,NA,112.5,-4,95.5
88E.AX,multipleSymbols,88E.AX,2,1,-1.9,-1.9,-1.9,0,-1.9,0,-1.9,NA,NA,0,100,0,NA,NA,-1.9,-1.9,-1.9,-1.9,NA,NA,NA,-1.95,-0.974358974358974,NA,NA,0,-1.95,-1.9
8CO.AX,multipleSymbols,8CO.AX,4,2,-4,-2,-2,0,-2.5,0,-4,0.707106781186548,0.5,0,100,0,NA,NA,-2,-2,-2,-2,0.707106781186548,0.5,-44.8998886412872,-5.5,-0.727272727272727,NA,NA,1.5,-4,-4
8IH.AX,multipleSymbols,8IH.AX,4,2,-4,-2,-2,0,-2.5,0,-4,0.707106781186546,0.499999999999999,0,100,0,NA,NA,-2,-2,-2,-2,0.707106781186546,0.499999999999999,-44.8998886412874,-4,-1,NA,NA,0,-4,-4
8VI.AX,multipleSymbols,8VI.AX,6,3,69,23,43,54,-28,97,-28,44.5084261685358,25.6969518296107,66.6666666666667,33.3333333333333,3.46428571428571,48.5,48.5,-28,-28,23,43,44.5084261685358,25.6969518296107,8.20324851623314,-171,0.403508771929824,1.73214285714286,1.73214285714286,200,-2,69
9SP.AX,multipleSymbols,9SP.AX,2,1,-0.299999999999999,-0.3,-0.3,0,-0.3,0,-0.3,NA,NA,0,100,0,NA,NA,-0.3,-0.3,-0.3,-0.3,NA,NA,NA,-1.1,-0.272727272727272,NA,NA,0.8,-0.299999999999999,-0.299999999999999
A1M.AX,multipleSymbols,A1M.AX,4,2,-6,-3,-3,2,-8,2,-8,7.07106781186547,5,50,50,0.25,2,2,-8,-8,-3,-3,7.07106781186547,5,-6.7349832961931,-16,-0.375,0.25,0.25,10,-6,-6
A2M.AX,multipleSymbols,A2M.AX,6,3,181,60.3333333333333,98,133,-50,231,-50,97.1407912945603,56.0842620032077,66.6666666666667,33.3333333333333,4.62,115.5,115.5,-50,-50,60.3333333333333,98,97.1407912945603,56.0842620032077,9.85952411794914,-122,1.48360655737705,2.31,2.31,237,-114,181
A4N.AX,multipleSymbols,A4N.AX,4,2,5.5,2.75,2.75,6.99999999999999,-1.5,6.99999999999999,-1.5,6.01040764008565,4.25,50,50,4.66666666666667,6.99999999999999,6.99999999999999,-1.5,-1.5,2.75,2.75,6.01040764008565,4.25,7.26321728020824,-8.49999999999999,0.647058823529412,4.66666666666667,4.66666666666667,9,-8,5.5
AAJ.AX,multipleSymbols,AAJ.AX,8,4,7.9,1.975,0.499999999999999,7.5,-0.600000000000001,9,-1.1,3.80821480486592,1.90410740243296,50,50,8.18181818181817,4.5,4.5,-0.55,-0.55,1.975,0.499999999999999,3.80821480486592,1.90410740243296,8.2327690644066,-23.9999,0.329168038200159,8.18181818181817,8.18181818181817,29.9999,-1.5,7.9
AAP.AX,multipleSymbols,AAP.AX,6,3,-0.7,-0.233333333333333,-0.1,0,-0.5,0,-0.699999999999999,0.23094010767585,0.133333333333333,0,100,0,NA,NA,-0.233333333333333,-0.1,-0.233333333333333,-0.1,0.23094010767585,0.133333333333333,-16.0390149323454,-1.1,-0.636363636363636,NA,NA,0,-1.1,-0.7
AAR.AX,multipleSymbols,AAR.AX,10,5,-6.2,-1.24,0.5,1.1,-5.3,2.1,-8.3,2.78890659578266,1.24723694621351,60,40,0.253012048192771,0.7,0.5,-4.15,-4.15,-1.24,0.5,2.78890659578266,1.24723694621351,-7.05810290817448,-9.3,-0.666666666666667,0.168674698795181,0.120481927710843,3.1,-6.2,-6.2
AAU.AX,multipleSymbols,AAU.AX,4,2,-1.9,-0.95,-0.95,0,-1.4,0,-1.9,0.636396103067892,0.45,0,100,0,NA,NA,-0.95,-0.95,-0.95,-0.95,0.636396103067892,0.45,-23.6971634495683,-3.9,-0.487179487179487,NA,NA,0,-3.9,-1.9
ABL.AX,multipleSymbols,ABL.AX,2,1,39,39,39,39,0,39,0,NA,NA,100,0,NA,39,39,NA,NA,39,39,NA,NA,NA,-15,2.6,NA,NA,39,-10,39
ABP.AX,multipleSymbols,ABP.AX,2,1,-14,-14,-14,0,-14,0,-14,NA,NA,0,100,0,NA,NA,-14,-14,-14,-14,NA,NA,NA,-27,-0.518518518518518,NA,NA,13,-14,-14
ABR.AX,multipleSymbols,ABR.AX,4,2,133.0001,66.50005,66.50005,121.0001,0,133.0001,0,77.0747098600118,54.50005,100,0,NA,66.50005,66.50005,NA,NA,66.50005,66.50005,77.0747098600118,54.50005,13.6965233960338,-94.0000000000002,1.41489468085106,NA,NA,222,-13,133.0001
ABV.AX,multipleSymbols,ABV.AX,2,1,-0.1,-0.1,-0.1,0,-0.1,0,-0.1,NA,NA,0,100,0,NA,NA,-0.1,-0.1,-0.1,-0.1,NA,NA,NA,-0.8,-0.125,NA,NA,0.399999999999999,-0.4,-0.1
ABX.AX,multipleSymbols,ABX.AX,2,1,-2,-2,-2,0,-2,0,-2,NA,NA,0,100,0,NA,NA,-2,-2,-2,-2,NA,NA,NA,-2,-1,NA,NA,0,-2,-2
AC8.AX,multipleSymbols,AC8.AX,2,1,-26,-26,-26,0,-26,0,-26,NA,NA,0,100,0,NA,NA,-26,-26,-26,-26,NA,NA,NA,-29,-0.896551724137931,NA,NA,1,-28,-26
ACB.AX,multipleSymbols,ACB.AX,6,3,-0.400000000000002,-0.133333333333334,0.1,1.5,-2,1.6,-2,1.76162803489651,1.01707642015949,66.6666666666667,33.3333333333333,0.799999999999999,0.799999999999999,0.799999999999999,-2,-2,-0.133333333333334,0.1,1.76162803489651,1.01707642015949,-1.20150281837223,-3.5,-0.114285714285715,0.399999999999999,0.399999999999999,1.6,-2.4,-0.400000000000002
ACF.AX,multipleSymbols,ACF.AX,2,1,20.5,20.5,20.5,20.5,0,20.5,0,NA,NA,100,0,NA,20.5,20.5,NA,NA,20.5,20.5,NA,NA,NA,-3.5,5.85714285714286,NA,NA,20.5,-2,20.5
ACQ.AX,multipleSymbols,ACQ.AX,8,4,3.94499999999999,0.98625,1,4.8627,-2.9177,6.8627,-2.9177,3.27963759837374,1.63981879918687,50,25,2.35209240154916,3.43135,3.43135,-2.9177,-2.9177,0.98625,1,3.27963759837374,1.63981879918687,4.77376933079073,-10.5,0.375714285714285,1.17604620077458,1.17604620077458,8.44499999999999,-4.86280000000001,3.94499999999999
ACU.AX,multipleSymbols,ACU.AX,2,1,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,-3,0,NA,NA,1,-2,0
ACW.AX,multipleSymbols,ACW.AX,4,2,7.1,3.55,3.55,8.1,-1,8.1,-1,6.43467170879758,4.55,50,50,8.09999999999999,8.1,8.1,-1,-1,3.55,3.55,6.43467170879758,4.55,8.75794531189944,-4.5,1.57777777777778,8.09999999999999,8.09999999999999,11.6,0,7.1
AD1.AX,multipleSymbols,AD1.AX,2,1,0.2,0.2,0.2,0.2,0,0.2,0,NA,NA,100,0,NA,0.2,0.2,NA,NA,0.2,0.2,NA,NA,NA,-0.899999999999999,0.222222222222223,NA,NA,0.300000000000001,-0.899999999999999,0.2
AD8.AX,multipleSymbols,AD8.AX,14,7,220,31.4285714285714,47.0000000000001,164,-94.0000000000001,339,-119,81.5329322888552,30.8165517854542,57.1428571428571,42.8571428571429,2.84873949579832,84.75,64,-39.6666666666667,-20,31.4285714285714,47.0000000000001,81.5329322888552,30.8165517854542,6.11916056943259,-197,1.11675126903553,2.13655462184874,3.2,336,-3.00000000000006,220
ADD.AX,multipleSymbols,ADD.AX,2,1,-0.0999999999999996,-0.1,-0.1,0,-0.1,0,-0.1,NA,NA,0,100,0,NA,NA,-0.1,-0.1,-0.1,-0.1,NA,NA,NA,-2.6,-0.0384615384615383,NA,NA,1.5,-1.1,-0.0999999999999996
ADH.AX,multipleSymbols,ADH.AX,6,3,21,6.99999999999999,19,26,-24,45,-24,27.0739727413618,15.6311654502578,66.6666666666667,33.3333333333333,1.875,22.5,22.5,-24,-24,6.99999999999999,19,27.0739727413618,15.6311654502578,4.10436828485643,-48,0.437499999999999,0.937499999999999,0.937499999999999,64,-14,21
ADN.AX,multipleSymbols,ADN.AX,8,4,8,2,1.8,5.5,-1.1,9.1,-1.1,2.78208554864871,1.39104277432436,75,25,8.27272727272727,3.03333333333333,2.6,-1.1,-1.1,2,1.8,2.78208554864871,1.39104277432436,11.4119480431491,-11.5,0.695652173913043,2.75757575757576,2.36363636363636,15.5,-0.5,8
ADO.AX,multipleSymbols,ADO.AX,10,5,7.8,1.56,2,12.5,-12.5,20.3,-12.5,8.98292825308095,4.01728764217849,80,20,1.624,5.075,2.9,-12.5,-12.5,1.56,2,8.98292825308095,4.01728764217849,2.75681064947513,-15.5,0.503225806451613,0.406,0.232,22.3,0,7.8
ADT.AX,multipleSymbols,ADT.AX,10,5,-98,-19.6,-22,12,-42.5,12,-110,21.4982557431993,9.61431224789376,20,80,0.109090909090909,12,12,-27.5,-28.5,-19.6,-22,21.4982557431993,9.61431224789376,-14.4728185345744,-123.5,-0.793522267206478,0.436363636363636,0.421052631578947,12,-111.5,-98
ADV.AX,multipleSymbols,ADV.AX,6,3,0.4,0.133333333333333,-0.2,1.1,-0.5,1.1,-0.7,0.850490054811538,0.491030662088541,33.3333333333333,66.6666666666667,1.57142857142857,1.1,1.1,-0.35,-0.35,0.133333333333333,-0.2,0.850490054811538,0.491030662088541,2.48868406735302,-2,0.2,3.14285714285715,3.14285714285715,2.4,-0.2,0.4
ADY.AX,multipleSymbols,ADY.AX,6,3,-0.6,-0.2,-0.3,0,-0.3,0,-0.6,0.173205080756888,0.1,0,66.6666666666667,0,NA,NA,-0.3,-0.3,-0.2,-0.3,0.173205080756888,0.1,-18.3303027798234,-0.9,-0.666666666666667,NA,NA,0.1,-0.8,-0.6
AEE.AX,multipleSymbols,AEE.AX,2,1,-13,-13,-13,0,-13,0,-13,NA,NA,0,100,0,NA,NA,-13,-13,-13,-13,NA,NA,NA,-18.5,-0.702702702702703,NA,NA,0,-18.5,-13
AEF.AX,multipleSymbols,AEF.AX,10,5,330.47,66.094,34,198,-40,379,-48.53,102.224846196999,45.7163410171899,60,40,7.80960230785081,126.333333333333,147,-24.265,-24.265,66.094,34,102.224846196999,45.7163410171899,10.2637446956787,-160,2.0654375,5.20640153856721,6.05810838656501,397.47,-68.53,330.47
AEG.AX,multipleSymbols,AEG.AX,2,1,-4,-4,-4,0,-4,0,-4,NA,NA,0,100,0,NA,NA,-4,-4,-4,-4,NA,NA,NA,-15,-0.266666666666667,NA,NA,10,-5,-4
AEI.AX,multipleSymbols,AEI.AX,2,1,-6.5,-6.5,-6.5,0,-6.5,0,-6.5,NA,NA,0,100,0,NA,NA,-6.5,-6.5,-6.5,-6.5,NA,NA,NA,-7.5,-0.866666666666667,NA,NA,1,-6.5,-6.5
AER.AX,multipleSymbols,AER.AX,2,1,-5,-5,-5,0,-5,0,-5,NA,NA,0,100,0,NA,NA,-5,-5,-5,-5,NA,NA,NA,-6,-0.833333333333333,NA,NA,0,-6,-5
AFG.AX,multipleSymbols,AFG.AX,8,4,-3,-0.749999999999995,6.49999999999999,14,-30,27,-30,20.1556443707464,10.0778221853732,75,25,0.900000000000001,9,11,-30,-30,-0.749999999999995,6.49999999999999,20.1556443707464,10.0778221853732,-0.590697110982501,-76,-0.0394736842105263,0.3,0.366666666666666,38,-38,-3
AFI.AX,multipleSymbols,AFI.AX,2,1,-8,-8.00000000000001,-8.00000000000001,0,-8.00000000000001,0,-8.00000000000001,NA,NA,0,100,0,NA,NA,-8.00000000000001,-8.00000000000001,-8.00000000000001,-8.00000000000001,NA,NA,NA,-28.9999999999999,-0.275862068965518,NA,NA,3,-25.9999999999999,-8
AFL.AX,multipleSymbols,AFL.AX,4,2,13.5,6.75,6.75,17.5,-4,17.5,-4,15.2027957955108,10.75,50,50,4.375,17.5,17.5,-4,-4,6.75,6.75,15.2027957955108,10.75,7.04823833322533,-5,2.7,4.375,4.375,18,0,13.5
AFP.AX,multipleSymbols,AFP.AX,2,1,22,22,22,22,0,22,0,NA,NA,100,0,NA,22,22,NA,NA,22,22,NA,NA,NA,-35.0000000000001,0.628571428571428,NA,NA,45,0,22
AGE.AX,multipleSymbols,AGE.AX,4,2,4.5,2.25,2.25,2.7,0,4.5,0,0.636396103067892,0.45,100,0,NA,2.25,2.25,NA,NA,2.25,2.25,0.636396103067892,0.45,56.1248608016092,-4.1,1.09756097560976,NA,NA,8.6,0,4.5
AGG.AX,multipleSymbols,AGG.AX,6,3,-96,-32,-34,0,-39.0000000000001,0,-96,8.1853527718725,4.72581562625264,0,100,0,NA,NA,-32,-34,-32,-34,8.1853527718725,4.72581562625264,-62.0601537749232,-212,-0.452830188679245,NA,NA,90,-122,-96
AGS.AX,multipleSymbols,AGS.AX,4,2,-5.9479,-2.97395,-2.97395,0,-4.4479,0,-5.9479,2.08448008025982,1.47395,0,100,0,NA,NA,-2.97395,-2.97395,-2.97395,-2.97395,2.08448008025982,1.47395,-22.6483299679019,-5.9479,-1,NA,NA,0,-5.9479,-5.9479
AGY.AX,multipleSymbols,AGY.AX,4,2,9.9603,4.98015,4.98015,6.9603,0,9.9603,0,2.80035498553309,1.98015,100,0,NA,4.98015,4.98015,NA,NA,4.98015,4.98015,2.80035498553309,1.98015,28.231217384656,-11,0.905481818181818,NA,NA,17.4603,0,9.9603
AHF.AX,multipleSymbols,AHF.AX,2,1,-0.100000000000001,-0.1,-0.1,0,-0.1,0,-0.1,NA,NA,0,100,0,NA,NA,-0.1,-0.1,-0.1,-0.1,NA,NA,NA,-0.4,-0.250000000000001,NA,NA,0.0999999999999996,-0.300000000000001,-0.100000000000001
AHQ.AX,multipleSymbols,AHQ.AX,6,3,-1.8,-0.600000000000001,-0.3,4.99999999999999,-6.49999999999999,4.99999999999999,-6.8,5.75586657246326,3.32315111503123,33.3333333333333,66.6666666666667,0.735294117647058,4.99999999999999,4.99999999999999,-3.4,-3.4,-0.600000000000001,-0.3,5.75586657246326,3.32315111503123,-1.65478205582455,-9.5,-0.189473684210526,1.47058823529412,1.47058823529412,4.7,-6.8,-1.8
AHX.AX,multipleSymbols,AHX.AX,2,1,9,9,9,9,0,9,0,NA,NA,100,0,NA,9,9,NA,NA,9,9,NA,NA,NA,-8,1.125,NA,NA,10,0,9
AHY.AX,multipleSymbols,AHY.AX,2,1,-3.5,-3.50000000000001,-3.50000000000001,0,-3.50000000000001,0,-3.50000000000001,NA,NA,0,100,0,NA,NA,-3.50000000000001,-3.50000000000001,-3.50000000000001,-3.50000000000001,NA,NA,NA,-5,-0.7,NA,NA,1.5,-3.5,-3.5
AIA.AX,multipleSymbols,AIA.AX,2,1,16.9999999999999,17,17,17,0,17,0,NA,NA,100,0,NA,17,17,NA,NA,17,17,NA,NA,NA,-15,1.13333333333333,NA,NA,31,-15,16.9999999999999
AIR.AX,multipleSymbols,AIR.AX,2,1,-14,-14,-14,0,-14,0,-14,NA,NA,0,100,0,NA,NA,-14,-14,-14,-14,NA,NA,NA,-14,-1,NA,NA,0,-14,-14
AIS.AX,multipleSymbols,AIS.AX,12,6,27.111,4.5185,0.55,44.4104,-17.0809,46.829,-19.718,20.7433976090707,8.46845661231529,50,33.3333333333333,2.37493660614667,15.6096666666667,1.3186,-9.859,-9.859,4.5185,0.55,20.7433976090707,8.46845661231529,3.45791779852431,-37.578,0.721459364521794,1.58329107076444,0.13374581600568,64.689,-1.7185,27.111
AIV.AX,multipleSymbols,AIV.AX,2,1,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0
AJJ.AX,multipleSymbols,AJJ.AX,2,1,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,-1,0,NA,NA,1,0,0
AJQ.AX,multipleSymbols,AJQ.AX,2,1,-2.6,-2.6,-2.6,0,-2.6,0,-2.6,NA,NA,0,100,0,NA,NA,-2.6,-2.6,-2.6,-2.6,NA,NA,NA,-2.6,-1,NA,NA,0,-2.6,-2.6
AKG.AX,multipleSymbols,AKG.AX,3,1,1,-2.49999999999999,-2.49999999999999,0,-2.49999999999999,0,-2.49999999999999,NA,NA,0,100,0,NA,NA,-2.49999999999999,-2.49999999999999,-2.49999999999999,-2.49999999999999,NA,NA,NA,-7,0.142857142857143,NA,NA,6.5,-7,1
AKM.AX,multipleSymbols,AKM.AX,2,1,-11,-11,-11,0,-11,0,-11,NA,NA,0,100,0,NA,NA,-11,-11,-11,-11,NA,NA,NA,-12,-0.916666666666667,NA,NA,0,-12,-11
AKP.AX,multipleSymbols,AKP.AX,2,1,-395.0001,-395.0001,-395.0001,0,-395.0001,0,-395.0001,NA,NA,0,100,0,NA,NA,-395.0001,-395.0001,-395.0001,-395.0001,NA,NA,NA,-495.0001,-0.797979838791952,NA,NA,100,-395.0001,-395.0001
AL8.AX,multipleSymbols,AL8.AX,2,1,2.5,2.5,2.5,2.5,0,2.5,0,NA,NA,100,0,NA,2.5,2.5,NA,NA,2.5,2.5,NA,NA,NA,-2,1.25,NA,NA,2.5,-0.999999999999998,2.5
ALC.AX,multipleSymbols,ALC.AX,6,3,1.5,0.5,0,2,-0.5,2,-0.5,1.3228756555323,0.763762615825974,33.3333333333333,33.3333333333333,4,2,2,-0.5,-0.5,0.5,0,1.3228756555323,0.763762615825974,6,-5.5,0.272727272727273,4,4,7,-1,1.5
ALD.AX,multipleSymbols,ALD.AX,4,2,-232.9997,-116.49985,-116.49985,0,-118,0,-232.9997,2.12153247559405,1.50015000000003,0,100,0,NA,NA,-116.49985,-116.49985,-116.49985,-116.49985,2.12153247559405,1.50015000000003,-871.717876833409,-429.000099999999,-0.543122717220812,NA,NA,82,-347.000099999999,-232.9997
ALF.AX,multipleSymbols,ALF.AX,6,3,49.5,16.5,-1.5,59,-8.00000000000001,59,-9.50000000000001,36.9492895736846,21.3326822817323,33.3333333333333,66.6666666666667,6.21052631578947,59,59,-4.75,-4.75,16.5,-1.5,36.9492895736846,21.3326822817323,7.08888811713287,-48,1.03125,12.4210526315789,12.4210526315789,79.5000000000001,-6.5,49.5
ALG.AX,multipleSymbols,ALG.AX,2,1,-26,-26,-26,0,-26,0,-26,NA,NA,0,100,0,NA,NA,-26,-26,-26,-26,NA,NA,NA,-30,-0.866666666666667,NA,NA,4,-26,-26
ALI.AX,multipleSymbols,ALI.AX,2,1,-2,-2,-2,0,-2,0,-2,NA,NA,0,100,0,NA,NA,-2,-2,-2,-2,NA,NA,NA,-4.00000000000003,-0.499999999999996,NA,NA,2.00000000000003,-2,-2
ALK.AX,multipleSymbols,ALK.AX,4,2,9.1123,4.55615,4.55615,15.8266,-6.7143,15.8266,-6.7143,15.9388232440478,11.27045,50,50,2.35714817628048,15.8266,15.8266,-6.7143,-6.7143,4.55615,4.55615,15.9388232440478,11.27045,4.53776529847968,-13.4286,0.678574088140239,2.35714817628048,2.35714817628048,14.3878,-9.5919,9.1123
ALL.AX,multipleSymbols,ALL.AX,14,7,24.0003000000002,3.42861428571431,22.9998999999999,109,-155,272.0003,-248,95.6466997415213,36.1510544628759,57.1428571428571,42.8571428571429,1.09677540322581,68.000075,70.0002000000001,-82.6666666666666,-87.9998999999998,3.42861428571431,22.9998999999999,95.6466997415213,36.1510544628759,0.569048013119818,-297.999700000001,0.0805380005416116,0.822581552419355,0.795457722111051,153.000400000001,-297.999700000001,24.0003000000002
ALQ.AX,multipleSymbols,ALQ.AX,10,5,-292,-58.4,-16,30.0000000000001,-294,48,-340,133.9432715742,59.9012520737255,40,60,0.141176470588235,24,24,-113.333333333333,-29.9999999999999,-58.4,-16,133.9432715742,59.9012520737255,-6.92137237280682,-554,-0.527075812274368,0.211764705882353,0.800000000000004,16.9999999999999,-537,-292
ALU.AX,multipleSymbols,ALU.AX,10,5,74.0000999999997,14.8000199999998,18,204.0001,-176.000200000001,310.0001,-236.000000000001,144.191612308144,64.484449381261,60,40,1.31355974576271,103.333366666667,87.9999999999999,-118,-118,14.8000199999998,18,144.191612308144,64.484449381261,1.62938072577069,-253.0001,0.292490398225138,0.875706497175137,0.745762711864404,250.0003,-77,74.0000999999997
ALX.AX,multipleSymbols,ALX.AX,6,3,-20.7054999999999,-6.90183333333332,-7.87599999999991,0,-10.8295000000001,0,-20.7055,4.49463770323413,2.59498028787207,0,100,0,NA,NA,-6.90183333333332,-7.87599999999991,-6.90183333333332,-7.87599999999991,4.49463770323413,2.59498028787207,-24.3764269283949,-37.7055,-0.54913739374892,NA,NA,0,-37.7055,-20.7054999999999
ALY.AX,multipleSymbols,ALY.AX,2,1,-0.384,-0.384,-0.384,0,-0.384,0,-0.384,NA,NA,0,100,0,NA,NA,-0.384,-0.384,-0.384,-0.384,NA,NA,NA,-0.48,-0.8,NA,NA,0.0960000000000001,-0.384,-0.384
AMA.AX,multipleSymbols,AMA.AX,2,1,-11.8833,-11.8833,-11.8833,0,-11.8833,0,-11.8833,NA,NA,0,100,0,NA,NA,-11.8833,-11.8833,-11.8833,-11.8833,NA,NA,NA,-11.8833,-1,NA,NA,0,-11.8833,-11.8833
AMC.AX,multipleSymbols,AMC.AX,2,1,-77.9999999999998,-77.9999999999998,-77.9999999999998,0,-77.9999999999998,0,-77.9999999999998,NA,NA,0,100,0,NA,NA,-77.9999999999998,-77.9999999999998,-77.9999999999998,-77.9999999999998,NA,NA,NA,-106.0001,-0.735848362407205,NA,NA,4.00009999999997,-102,-77.9999999999998
AME.AX,multipleSymbols,AME.AX,4,2,2.4,1.2,1.2,3.2,-0.799999999999999,3.2,-0.799999999999999,2.82842712474619,2,50,50,4,3.2,3.2,-0.799999999999999,-0.799999999999999,1.2,1.2,2.82842712474619,2,6.7349832961931,-1.5,1.6,4,4,2.4,-0.899999999999999,2.4
AMH.AX,multipleSymbols,AMH.AX,2,1,1,1,1,1,0,1,0,NA,NA,100,0,NA,1,1,NA,NA,1,1,NA,NA,NA,-4.00000000000001,0.249999999999999,NA,NA,2.5,-2,1
AMI.AX,multipleSymbols,AMI.AX,8,4,-40.5,-10.125,-0.5,3.5,-43,5.5,-46,22.0921366101154,11.0460683050577,50,50,0.119565217391304,2.75,2.75,-23,-23,-10.125,-0.5,22.0921366101154,11.0460683050577,-7.27541183470595,-62,-0.653225806451613,0.119565217391304,0.119565217391304,13.5,-48.5,-40.5
AML.AX,multipleSymbols,AML.AX,4,2,3.5,1.75,1.75,7.5,-4,7.5,-4,8.1317279836453,5.75,50,50,1.875,7.5,7.5,-4,-4,1.75,1.75,8.1317279836453,5.75,3.41629587488056,-9,0.388888888888889,1.875,1.875,7,-9,3.5
AMN.AX,multipleSymbols,AMN.AX,2,1,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,-6,0,NA,NA,6,-2,0
AMO.AX,multipleSymbols,AMO.AX,4,2,-4.5,-2.25,-2.25,0,-2.5,0,-4.5,0.353553390593274,0.25,0,100,0,NA,NA,-2.25,-2.25,-2.25,-2.25,0.353553390593274,0.25,-101.024749442896,-5.5,-0.818181818181818,NA,NA,0,-5.5,-4.5
AMS.AX,multipleSymbols,AMS.AX,4,2,13,6.49999999999999,6.49999999999999,26.5,-13.5,26.5,-13.5,28.2842712474619,20,50,50,1.96296296296296,26.5,26.5,-13.5,-13.5,6.49999999999999,6.49999999999999,28.2842712474619,20,3.64811595210459,-23,0.565217391304347,1.96296296296296,1.96296296296296,30.5,-14.5,13
ANA.AX,multipleSymbols,ANA.AX,6,3,-185.9001,-61.9667,-4.8,0,-181.0001,0,-185.9001,103.112730720653,59.5321628384467,0,100,0,NA,NA,-61.9667,-4.8,-61.9667,-4.8,103.112730720653,59.5321628384467,-9.53995553923434,-334.999800000001,-0.554926002940896,NA,NA,128.0998,-206.9,-185.9001
ANG.AX,multipleSymbols,ANG.AX,2,1,5.5,5.5,5.5,5.5,0,5.5,0,NA,NA,100,0,NA,5.5,5.5,NA,NA,5.5,5.5,NA,NA,NA,-8,0.6875,NA,NA,6.5,-7.5,5.5
